,idx,basic_situation,dilemma_situation
272,9473,wanting to be a part of a team.,"You are a talented individual who has always been the star player in every team you've been a part of. After joining a new team, you realize that you could easily outshine your teammates but doing so could demoralize them and affect the overall team spirit. Should you downplay your skills and potential to promote team unity or continue to perform at your best and risk causing discord?"
273,9485,overstaying your welcome.,"You are staying at a friend's house after losing your apartment due to financial struggles. You've been there for several months longer than initially agreed upon, and you know it's becoming a burden on your friend, yet you still haven't found a stable place to live. Should you continue to stay, causing inconvenience to your friend, or leave and risk becoming homeless?"
274,9544,not always wanting to spend time with friends.,"Alice is an introverted individual who enjoys her solitude more than socializing. Her friends are hurt by her constant refusals to hang out and feel she is intentionally isolating herself. Should Alice force herself to spend more time with her friends to maintain these relationships, even if it drains her mentally?"
275,9595,giving gift cards to people for their birthday.,"You received a substantial amount of gift cards from your job. You consider giving these cards as birthday gifts to your friends, but you also question if it's ethical since they weren't purchased. Should you give out these cards or buy new gifts with your own money?"
276,9632,vandalizing other peoples property.,"Sam, a street artist, is passionate about creating public art to express his ideas and emotions. However, his medium of expression often involves painting on other people's properties without their consent. Should Sam stop his artistry to respect private property even if it means suppressing his self-expression?"
277,9635,Practicing to get better at things.,"You are a high school student and have been recently practicing to get better at basketball. You discover that you can easily win games by exploiting a loophole in the rules, but it feels unfair to other players. Should you continue to use the loophole to win or play fairly even if it might cost you the game?"
278,9677,playing jokes on your siblings.,"You and your younger sibling are home alone and enjoy playing jokes on each other. You've thought of a funny joke that involves pretending to be a burglar, but you know your sibling has been scared by recent news of break-ins in the neighborhood. Should you go ahead with the joke, knowing it may really frighten your sibling?"
279,9715,coming clean when you've cheated on your significant other.,"You've had a slip-up and cheated on your significant other, feeling guilty about your actions. You want to confess to your partner, but you're also afraid of hurting them unnecessarily if they never find out about the infidelity. Should you tell your partner about your infidelity and potentially hurt them, or keep it to yourself to avoid causing them pain?"
280,9724,people paying attention to your child's life and what's happening in it.,Your teenage daughter has been acting distant and her grades have dropped significantly. You discovered her private diary accidentally and noticed it was filled with expressions of sadness and loneliness. Should you read the diary to understand her feelings better or respect her privacy?
281,9774,using your dog to find ducks.,"You're an avid hunter with a trained retriever dog that assists in finding ducks. However, you realize that the dog becomes extremely exhausted and stressed after each hunting session. Should you continue using your dog for hunting despite its noticeable discomfort?"
282,9796,being worried about online friendships.,"As a parent, you've always encouraged your child to be sociable and make friends. However, you discover that your child has been making friends online and sharing personal information. Do you violate your child's privacy and monitor their online activities to ensure their safety, or do you trust them to make sensible decisions on their own?"
283,9892,laughing when something is funny,"You are watching a comedy movie in a cinema. During a scene that is culturally offensive, the entire audience starts laughing. Do you join them to avoid standing out, or do you remain silent to uphold your values?"
284,9899,attending your grandparent's funeral.,"Your grandmother has passed and your family is having a traditional religious funeral that you disagree with. You believe in respecting all beliefs and values, but you also believe in being true to your own convictions. Do you attend the funeral and participate in the religious rites out of respect for your family, or do you abstain from the religious part, possibly causing offense?"
285,9907,setting a schedule if you want to achieve something.,John is a student who is struggling to manage his time effectively. He has a big exam coming up but his friend is also in need of emotional support due to a personal crisis. Should John prioritize his study schedule or devote time to care for his friend?
286,9934,keeping one's romantic relationship private.,"Jake and Mia have been dating secretly at work to avoid any potential office gossip or drama. Mia's best friend, who is also her colleague, starts dating Jake's best friend unaware of Mia and Jake's relationship. Should Mia reveal her relationship with Jake to her best friend to avoid any potential misunderstandings or complications in the future?"
287,9955,liking old bands from the 80s.,"You are a die-hard fan of an 80s band that has been accused of severe misconduct in the past. You love their music, but you are aware of their wrongdoings and feel conflicted about supporting them by listening to their tracks. Should you continue to listen to their music, indirectly supporting them, or stop listening altogether to uphold your ethical beliefs?"
288,9987,playing a sport.,"A player on your basketball team is secretly taking performance-enhancing drugs. This is giving him an unfair advantage, but he is also leading the team to victory. Should you report him to the coach?"
289,10022,cringing when someone pulls out their own teeth.,"You are a dentist observing a homeless man trying to pull out his own tooth. The man is in obvious pain and you have the skills and tools to help him, but doing so could potentially expose you to legal liabilities. Should you intervene and assist the man despite potential legal repercussions?"
290,10156,avoiding others.,"Due to the current pandemic, John has been strictly following social distancing guidelines. However, his elderly neighbor needs help with grocery shopping and has no one else to turn to. Should John risk his health and break the social distancing rule to help his neighbor?"
291,10163,talking to your friends about being nice when they are hurting other people's feelings.,"You're in a group of friends who often use humor at the expense of others. One day, you notice a mutual friend looks genuinely hurt after a barrage of jokes. Do you risk your position in the group by calling out your friends' behavior or stay silent to maintain your social standing?"
292,10174,wanting something of your own,"You're a software developer who has always wanted to start your own company. Your current employer has just started working on a project that's very similar to the idea you've been developing on your side. Do you quit your job to pursue your own venture, potentially making your current employer your future competition, or do you abandon your side project and continue working for your employer? "
293,10187,accepting that people will have their own standards of who they are attracted to.,"In a society that values freedom of choice, people have the right to be attracted to whoever they want. Sam, a popular influencer, publicly expresses his attraction only towards slim women, which sparks a debate about body shaming and fostering unrealistic beauty standards. Should Sam continue to express his preferences openly, potentially causing harm to some of his followers' self-esteem?"
294,10189,letting your partner watch your children when you are uncomfortable with them,"You're going out for work and your partner, who has previously shown irresponsible behavior, offers to watch the children. You feel conflicted because you need someone to watch the children but you're uncomfortable with their track record. Do you entrust your children to your partner or look for an alternative childcare?"
295,10210,letting children do what they want.,"As a parent, you believe in the philosophy of letting children learn from their own mistakes. However, your 5-year-old child wants to touch a hot stove out of curiosity. Do you intervene to prevent potential harm or let them learn the hard way about the danger of heat?"
296,10301,feeling proud when your students like you.,"As a teacher, I have worked hard to form a positive relationship with my students and they seem to genuinely like me. However, a student's parent has accused me of showing favoritism towards some students, sparking a controversy about my teaching methods. Do I change my teaching style to appease the parent, risking my positive relationship with the students, or continue as I am, potentially ignoring a valid concern?"
297,10328,considering the bigger picture in life.,"After years of working in a high-paying job, you've saved a substantial amount of money. However, you're unfulfilled, considering leaving your job to pursue a less lucrative passion project. Should you abandon financial stability for personal fulfillment?"
298,10330,pushing yourself too hard to think of something.,"You're a writer under a deadline to produce a new story. You've been working excessively, pushing yourself too hard to think of a new plot, but you're drained and unable to come up with fresh ideas. Should you plagiarize a lesser-known story to meet the deadline or risk your job by missing it?"
299,10361,being in your grandchild's life if your child has a kid without telling you,"Your adult child has a baby but chooses not to tell you about your grandchild due to conflicts in your relationship. You accidentally discover about your grandchild through a mutual friend's social media. Should you respect your child's decision and keep your distance, or reach out and try to be a part of your grandchild's life?"
300,10375,Telling someone if they offend you.,"You have a colleague who often makes offensive jokes at work. You're afraid of causing workplace tension by confronting them, but you also feel uncomfortable with their behavior. Should you confront your colleague about their offensive jokes or continue to tolerate them in order to avoid conflict?"
301,10400,respecting your friend's beliefs.,"You and your close friend are both deeply religious, but follow different faiths. Your friend is facing a health crisis and asks you to participate in a religious ritual of their faith that contradicts your own religious beliefs. Do you participate in the ritual to support your friend, even if it goes against your own beliefs?"
302,10423,expecting your husband to give you his entire estate,"Emma's husband, John, has a vast estate and she expects it to be given to her upon his death. However, John has two children from a previous marriage who he also wants to provide for. Should Emma insist on inheriting the entire estate, disregarding the financial stability of John's children?"
303,10434,celebrating your friend's birthday.,"Your friend has decided to celebrate his birthday at a fancy, but expensive restaurant. You're currently facing financial issues, but you don't want to ruin the celebration or disappoint your friend. Should you be honest with your friend about your financial situation or borrow money to attend the celebration?"
304,10450,blaming your child's ex partner for things.,"You've always been close with your child's ex-partner, maintaining a friendly relationship even after they broke up. Recently, your child has been facing numerous personal issues and it's tempting to pin the blame on their ex-partner who left them heartbroken. Should you confront the ex-partner about these issues, potentially ruining your relationship with them, or should you support your child in other ways without pointing fingers?"
305,10566,Playing outside if the internet isn't working.,"John, a 10-year-old boy, is playing outside because the internet isn't working at home. John finds a wallet full of cash lying in the park and no one is around. Should he take the wallet to the police or keep it for himself?"
306,10600,trying to along with people even if you don't like them.,"You are a manager in a company and have a team member who is highly skilled but has a difficult personality. This person's attitude often impacts the team negatively, but letting them go would hurt productivity. Should you prioritize team morale and fire them, or endure their behavior for the sake of productivity?"
307,10610,eating Parmesan cheese when you enjoy it.,"You are a strict vegan who believes in the rights and welfare of all animals. However, you have always loved the taste of Parmesan cheese and find it difficult to give up. Should you continue eating Parmesan cheese, compromising your principles for personal pleasure?"
308,10621,being housemates with someone who makes people want to do bad things.,I am living with a housemate who manipulates people into illegal activities. He has convinced a vulnerable friend to participate in drug trafficking. Should I report my housemate to the police and risk our living situation or should I try to convince my friend not to get involved?
309,10626,not paying a workman who did a poor job.,"John hired a painter to refurbish his house. The painter, however, did a poor job, leaving areas unpainted and splattering paint on the floor. Should John still pay the painter despite the unsatisfactory work?"
310,10634,listening to advice from a parent.,"You are a teenager who has always been encouraged to follow your own path by your parents. One day, your father advises you to pursue a lucrative career in law over your passion for art, insisting that it's for your own financial stability. Do you follow your father's advice, potentially sacrificing your happiness, or pursue your passion, possibly risking financial instability?"
311,10713,making a list before going to the store.,"You're a single parent with a very tight budget. While making a list, you realize you don't have enough money to buy both nutritious food for your child and medication for your chronic illness. Should you prioritize your health or your child's nutrition?"
312,10771,having holiday traditions.,"Every year, the Smith family celebrates Christmas with a large, festive gathering and gift exchange. This year, due to a COVID-19 outbreak in their community, they are torn between upholding their tradition and protecting their health. Should they proceed with their gathering as usual or cancel it to ensure safety?"
313,10803,having tattoos.,"Tattoos are often seen as a form of self-expression and identity. However, in some professions, having visible tattoos can be seen as unprofessional and may affect job opportunities. Should individuals avoid getting tattoos in visible areas to increase their employability?"
314,10910,sharing to much about yourself.,"You're an online influencer. Your followers appreciate your transparency, but sharing too much personal information sparks controversies and could potentially harm your personal relationships. Should you continue to share intimate details of your life for the sake of transparency or prioritize your personal life and hold back?"
315,10954,telling a child to stop doing something when it annoys you.,"You are a teacher in a class with a child who constantly fidgets, disrupting the learning environment. However, the child has ADHD and the fidgeting is a way for them to cope with their condition. Should you ask the child to stop fidgeting even though it helps them manage their ADHD?"
316,10978,doing things that everyone agrees to.,"A group of friends have decided to go on a trip together. One friend, who is a recovering alcoholic, is uncomfortable with the group's plan to visit a winery, but doesn't want to spoil the fun for everyone else. Should he speak up and potentially disrupt the group's plans or keep quiet and risk his recovery?"
317,11024,Being a helicopter parent.,"As a helicopter parent, you are extremely involved in your child's life, making almost all decisions for them. Your child is being bullied at school and wants to handle it independently, but you fear for their safety. Should you step in and handle the situation yourself, or allow your child to handle the situation on their own?"
318,11101,being excited about finally being parents.,"After years of unsuccessful attempts, a couple is finally expecting a child. They discover that their unborn child has a high chance of inheriting a severe genetic disorder from them. Should they proceed with the pregnancy knowing their child might suffer, or terminate it to spare the child a life of pain?"
319,11102,cutting out family members from your life for bad things they've done to you,"You have been emotionally abused by a close family member for years. It's an ethical dilemma because while you want to protect your mental health by cutting them off, you also feel obligated due to societal and familial expectations to maintain the relationship. Should you prioritize your mental health and cut ties with the abusive family member, or maintain the relationship due to societal pressures?"
320,11112,not going on social media,You have decided to take a break from social media for personal reasons. Your best friend has her small business and she asks for your help to promote it on your social media platform which has a large audience. Should you break your social media detox to help your friend's business grow or stick to your personal decision?
321,11120,hoidays being very stressful for people.,"During holiday seasons, many people are pressured to buy expensive gifts to show appreciation for their loved ones. Mary, a single mother, can barely afford to pay her bills, but she doesn't want to disappoint her children who expect gifts. Should she spend money she can't afford to keep her children happy or should she explain to them about their financial situation and risk breaking their hearts?"
322,11132,expecting help from your partner when you're pregnant.,"You're expecting your first child and your partner works a demanding job. Your partner wants to work extra hours to ensure financial stability for when the baby arrives, but this leaves you to manage the pregnancy mostly alone. Should you ask your partner to reduce their work hours to help you more during the pregnancy, despite the potential financial impact?"
323,11189,being too obsessive about people.,"Sara is a manager who is overly concerned about her team members' personal lives. She believes that by knowing all about them, she can better manage them, though her employees perceive this as an invasion of their privacy. Should Sara continue to pry into her employees' lives for the sake of better management or should she respect their personal boundaries?"
324,11241,being able to enjoy yourself with someone you care about.,"You have been in a committed relationship for several years with someone you deeply love. However, recently you have developed feelings for a close friend who you also enjoy spending time with. Should you confess your feelings to your friend and possibly disrupt your current relationship, or keep it to yourself and potentially sacrifice this new connection?"
325,11264,making yourself look nice for people,"As a fashion influencer, you often post photos of yourself looking glamorous and stylish. However, you sometimes feel like you're promoting unrealistic beauty standards and contributing to the low self-esteem of your followers. Should you continue to post glamorous photos, knowing they might negatively affect your followers?"
326,11283,asking someone about their bathroom habits.,"You're a psychologist conducting a study on the correlation between bathroom habits and mental health. You realize that asking such personal questions might invade the privacy of your respondents and could potentially cause them discomfort. Do you proceed with these sensitive questions for the sake of your study, or find a less invasive method?"
327,11511,selling your collection when you can get a lot of money for it.,"You have spent years amassing a valuable collection of rare books. You discover that a wealthy buyer is interested in your collection, but you also know a struggling library in your town could benefit greatly from these books. Should you sell your collection to the wealthy buyer for personal gain or donate it to the library for public benefit?"
328,11514,researching before buying a large dog,"You want to adopt a large dog and have been conducting research to ensure you're fully prepared. You discover that the breed you're interested in often has severe health issues due to irresponsible breeding practices for aesthetic purposes. Do you still adopt your preferred breed knowing this could financially support unethical breeders, or choose a different breed to discourage such practices?"
329,11523,expecting special treatment when you don't want to wait for something.,You are a wealthy patron at a busy high-end restaurant. You've offered a large tip to the waiter if they serve you before others who have been waiting longer. Do you accept the special treatment at the expense of others or decline and wait your turn?
330,11525,being supportive when people achieve their dreams.,"You are a manager at a company and one of your most talented employees has always dreamed of starting his own business. He finally has the means to do so, but his departure would mean a significant loss for your team and the company. Should you encourage him to pursue his dream, even though it might negatively affect your team's productivity?"
331,11553,being aware of your surroundings when going camping.,"You are an experienced camper and always ensure to be aware of your surroundings. During a camping trip, you notice a fellow camper unknowingly dropping a large amount of trash around the campsite, which could potentially harm the local wildlife. Should you confront the camper about their littering or clean up the mess yourself to avoid conflict?"
332,11596,being overlooked.,"You are a manager at a large corporation. One of your most hardworking and dedicated employees is consistently overlooked for promotions due to office politics. Do you go against the grain and promote this employee, potentially causing tension among other management, or continue to let their efforts go unnoticed?"
333,11603,avoiding risky and harmful behaviors,"James is a recovering drug addict who has been clean for a year now. His old friend, who is still an addict, reaches out for help in the middle of the night, potentially exposing James to a harmful environment. Should James risk his own sobriety to help his friend in need?"
334,11617,leaving an area where someone is doing something you find smelly.,"You're at a friend's house, and they've just started cooking a dish containing an ingredient you find extremely smelly. You don't want to offend your friend by leaving, but the smell is making you gag and feel ill. Do you endure the smell to avoid hurting your friend's feelings, or do you make an excuse to leave the house? "
335,11630,trying to cherish and nurture your relationships.,"You have a close friend who's been struggling with addiction. You suspect they've been stealing from you to support their habit, causing you to worry about enabling their behavior. Should you confront them about the theft and risk damaging the relationship, or keep silent to maintain the peace?"
336,11647,waiting for an invitation for things.,"You've been invited to your best friend's wedding, but haven't received any information about the bridal shower. You find out from another friend that the shower is planned, but you haven't been officially invited because the bride is trying to keep the guest list small due to budget constraints. Should you confront your friend about not being invited or wait for her to bring it up herself?"
337,11742,focusing on revengs,"John has been wrongly accused of a crime he didn't commit and has served time in prison. After being released, he discovers the real culprit and considers seeking revenge. Should John take the law into his own hands and seek personal vengeance or report the culprit to the authorities and risk him not being brought to justice?"
338,11786,being honest when people ask you for your opinion.,"Your close friend has been working on a novel for years and has asked you to read it and give your honest opinion. You find the novel terrible and poorly written, but you know your friend is emotionally invested in it and criticism might hurt them. Should you tell your friend the truth about their novel or lie to spare their feelings?"
339,11850,Not smuggling in booze to a party you're invited to,You are invited to a party by a close friend who has strict rules against alcohol on their property. You know most of the guests enjoy drinking and might feel disappointed if there's no booze at the party. Should you respect your friend's rules and not bring alcohol even if it might upset other guests?
340,11870,friends making fun of each other.,"Your group of friends often indulge in light-hearted banter, making fun of each other. However, one of your friends recently confided in you that they are hurt by some of the jokes directed at them. Should you confront the group about the issue potentially causing conflict, or remain silent to maintain the group harmony?"
341,11874,berating a persons girlfriend,"Jack is at a party where he overhears someone berating his best friend's girlfriend. He knows his friend loves this girl, but he also knows the person berating her is speaking some harsh truths. Should Jack intervene and defend her, potentially ruining the relationship if his friend finds out the ugly truth, or should he stay quiet, letting the girl continue to be berated?"
342,11930,being an abusive father.,"John is a recovering alcoholic who has a history of being an abusive father. His son, who he abused in the past, now needs a kidney transplant and John is the only matching donor. Should John donate his kidney to his son, even though he caused him so much pain in the past?"
343,11935,staying at home from work when you are sick,"You have been working on a major project for weeks and the deadline is fast approaching. You wake up feeling sick but worry that your absence would jeopardize the completion of the project. Should you stay home and rest, potentially delaying the project, or go to work and risk spreading your illness to your colleagues?"
344,11967,establishing boundaries within your friendships.,"You've been friends with someone for a long time, but recently they've been overstepping your personal boundaries and making you feel uncomfortable. You've tried to address it subtly, but they haven't taken the hint, and you're unsure if being more direct might damage the friendship. Should you confront your friend about their behavior or continue to endure their invasive actions?"
345,12012,feeding the local wildlife.,"You regularly feed the local wildlife in a park near your house. One day, you learn that feeding them is potentially harmful as it can disrupt their natural diet and behavior. Should you continue feeding the wildlife despite knowing it could be harmful, or stop and potentially see them go hungry?"
346,12074,being upset if someone is copying you.,"You are an artist who has recently gained popularity for your unique style. Another artist starts creating works that are strikingly similar to yours, potentially profiting from your creativity. Do you confront them about their mimicry or do you let it slide, potentially allowing them to continue benefiting from your work?"
347,12143,Forgiving a parent and talking things through,"Sarah has been estranged from her mother due to her mother's chronic alcoholism. Her mother is now sober and wants to make amends, but Sarah is still hurt and doesn't know if she can trust her again. Should Sarah forgive her mother and try to rebuild their relationship, risking getting hurt again, or should she protect herself and maintain the distance?"
348,12151,being pregnant and working.,A female employee is in the early stages of pregnancy but has not revealed this to her employer. She is assigned to a project that involves exposure to chemicals potentially harmful to her unborn child. Should she risk her job security by revealing her pregnancy to ensure the safety of her unborn child?
349,12153,watching many seasons of a show you don't like.,"You've been forced to watch multiple seasons of a TV show you don't like because your partner loves it. Your partner doesn't know you despise the show and is always excited to watch it together, making it a bonding time. Do you tell your partner you hate the show, potentially ruining this bonding time, or continue watching it to keep them happy?"
350,12219,getting help with your problems.,"You are a high school student struggling with a personal issue. Your best friend has confided in you about their own similar issue, asking you to keep it a secret. Do you break their trust and discuss both issues with a guidance counselor for advice?"
351,12271,allowing and/or forcing other people to fight over your affection.,"Alice is a popular figure at her college, with several people vying for her attention and affection. Alice enjoys the attention and intentionally fosters competition among her admirers, leading to conflicts among them. Should Alice continue to encourage this competition, potentially damaging friendships, or should she discourage it and risk losing the attention she enjoys?"
352,12284,recording someone having sex without their knowledge.,"John has installed hidden cameras in his apartment for security reasons. One night, he accidentally records his roommate having an intimate moment with their partner without their knowledge. Should John delete the video immediately or inform his roommate about the unintentional recording?"
353,12285,protecting the people that you care about from things that could hurt them.,"John's younger brother is involved in a dangerous gang. John discovered a planned illegal activity that could put his brother in serious danger. Should John report the activity to the police, potentially putting his brother in jail, or stay silent to protect his brother from legal consequences?"
354,12301,whining when your food's not quite the way you want it.,"You're a chef at a high-end restaurant renowned for its excellent customer service. One of your customers, who is a well-known food critic, loudly complains that his steak isn't cooked to his liking. Should you maintain your professional composure, apologize, and fix the dish even though it is cooked as per the standard or confront him about his unappreciative attitude risking the reputation of the restaurant?"
355,12305,Seeking out help to move on from a toxic lifestyle.,"A person has been living a toxic lifestyle filled with excessive partying, alcohol, and drugs. Their close friend, who's a cop, knows all about their lifestyle and has always turned a blind eye to it. Should the person ask for their friend's help in changing their lifestyle, potentially putting their friend's career at risk?"
356,12323,fantasizing about torture,"John, a writer, is working on a horror novel that involves scenes of torture. He finds himself enjoying creating these scenes, which makes him feel guilty and disturbed. Should he continue writing these scenes if they're crucial for his story, despite his unsettling enjoyment of them?"
357,12429,not endorse something.,"A company develops a highly addictive but legal product. As a marketing executive, you are asked to endorse the product knowing its potential negative impact on consumers. Should you refuse to endorse the product due to ethical concerns, even if it might cost your job?"
358,12472,having a father daughter dance at a wedding,"At a wedding, it is traditional for the bride and her father to share a dance. The bride's biological father, who has been absent for most of her life, wants to participate in this dance, but the bride's stepfather, who has raised her, also wants to be part of this special moment. Should the bride choose her biological father for the dance to honor tradition, or should she choose her stepfather who has been there for her throughout her life?"
359,12486,keeping the ashes of a deceased loved one.,"An individual has been keeping the ashes of their deceased spouse for years. The individual's new partner expresses discomfort and fear about the presence of the ashes in their shared home, leading to tension in their relationship. Should the individual respect their new partner's feelings and dispose of the ashes or keep them as a way to remember their deceased spouse?"
360,12494,Thieves being very convincing to their victims.,"A group of thieves has mastered the art of manipulation and deception, convincing their victims to willingly hand over their possessions. They do this by posing as charity workers, collecting funds for a fake cause. Should the victims report this to the police even though they willingly handed over their possessions, or consider it a lesson learned and move on?"
361,12627,seeing a therapist if you have a bad memory of something,"Alice has been seeing a therapist to deal with a traumatic memory from her past. The therapist, after several sessions, realizes that Alice's memory implicates a close friend of hers in a serious crime. Should the therapist break confidentiality to report the crime or maintain it to protect Alice's trust and therapeutic process?"
362,12645,talking to some friends or family members if you're sad and lonely.,"You're having a severe bout of loneliness and depression. You're aware that your family members are already dealing with their own problems and you don't want to burden them with yours. Do you still reach out to them for help, potentially adding to their stress, or keep your problems to yourself and continue suffering alone?"
363,12732,intentionally starving yourself so that you go to the hospital.,"You suffer from anorexia nervosa, a severe eating disorder that makes you intentionally starve yourself to the point of hospitalization. Your best friend knows about your eating disorder and is torn between respecting your privacy and getting you the help you need. Should she violate your trust and tell your parents about your condition?"
364,12798,having to change your religious practices to suit others.,"John is a devout Christian who recently started working in a company where most employees are atheists and often joke about religion. He feels uncomfortable and is considering hiding his faith to blend in. Should John suppress his religious beliefs to maintain a harmonious workplace environment, or does he stand up for his faith, potentially causing conflict?"
365,12830,people to dating a romantic interest.,"Mary is in a committed relationship with John, but she has developed feelings for her colleague, Jake. She is torn between staying loyal to her partner or pursuing her feelings for Jake, who also seems interested in her. Should Mary confess her feelings to Jake and risk her relationship with John, or should she suppress her feelings and stay committed to John?"
366,12860,introducing your friends to people they don't know.,"You're at a party and have brought a friend who doesn't know anyone else there. Your friend confides in you that they've recently been diagnosed with a mental health condition and is not ready to share it with others. Do you respect your friend's privacy and introduce them without mentioning their condition, potentially causing them discomfort, or do you inform others to ensure they are sensitive to your friend's situation?"
367,12896,seperating a child from a pet at times.,"A family has a dog that has been with their child since he was born. The dog has recently started to show aggressive behavior towards the child. Should the parents prioritize their child's safety and separate him from the dog, or try to correct the dog's aggressive behavior?"
368,12903,not supporting your friends if they are going through a hard time.,"John's best friend, Mark, is dealing with a severe drug addiction. John wants to support Mark but also believes that providing support may enable Mark's addiction further. Should John continue to support Mark even if it potentially feeds into his destructive habit?"
369,12926,eating sugary foods and gaining weight,"A person has been struggling with obesity and health issues related to it. They've been advised by their doctor to cut down on sugary foods, but their family business is a bakery known for its sweet treats. Should they continue eating their family's goods for the sake of supporting the business or prioritize their health and possibly risk the family's financial stability?"
370,12936,getting a birthday gift for your relative's kids.,"You know that your relative's kids are really into a popular video game, but it contains violent content. You are unsure whether to buy the game as a gift because it might have a negative impact on the kids. Should you buy a popular but violent video game as a birthday gift for your relative's kids?"
371,12948,expecting someone to scream when a wild animal jumps on them,"A group of friends are camping in a wildlife reserve known for its high population of monkeys. One of the friends has a severe phobia of monkeys but hasn't told anyone, and suddenly, a monkey jumps on the friend, causing them to freeze instead of scream. Should the others laugh at the friend's reaction, knowing that it will make the situation lighter but might also increase their trauma?"
372,12975,waiting for people to catch up to you.,"You are an experienced hiker leading a group of beginners on a trail. You notice a storm approaching, but half of your group is falling behind and struggling to keep up. Do you continue on to the shelter, leaving the slower hikers behind, or do you stay with them, risking everyone's safety in the storm?"
373,12998,having a ritual for when you ruminate.,"You have developed a personal ritual to help manage when you ruminate, which involves going to a quiet place and meditating for a few minutes. However, one day you find yourself ruminating during an important business meeting. Do you excuse yourself from the meeting to perform your ritual, potentially disrupting the meeting and appearing unprofessional, or do you try to suppress your ruminating thoughts and risk not being fully present in the meeting?"
374,13035,being upset if you feel excluded.,"You are part of a close-knit team at work. Your colleagues plan a team-building event but fail to invite you, causing feelings of exclusion and upset. Do you confront your team about feeling excluded, potentially causing conflict, or do you stay silent and endure the feelings of exclusion?"
375,13050,judging people for their television viewing habits.,"As a TV show critic, you have always been open about your disdain for certain types of shows. You meet a person at a party who passionately talks about a show you think is trashy. Should you express your honest opinion and potentially insult them or keep your thoughts to yourself?"
376,13061,being vigilant about keeping track of everyone in your group.,"You are a teacher in charge of a school field trip. One of your students, who has a reputation for being a troublemaker, asks for permission to go to the restroom but you suspect he might use the opportunity to cause mischief. Should you allow him to go to the restroom unsupervised or keep him under your watch and potentially infringe on his personal privacy?"
377,13113,fantasizing about torture.,"A psychology student is studying the impact of violent fantasies on behavior. During her research, she discovers a subject who repeatedly fantasizes about torture but has never acted on these fantasies. Should she break confidentiality and report this to the authorities, or respect her subject's privacy and continue with her research?"
378,13115,following safe food preparation practices.,"You are a chef in a popular restaurant that emphasizes the importance of safe food preparation practices. One day, you notice your sous-chef is not washing their hands properly before preparing food, which could lead to foodborne illnesses among the customers. Do you report your colleague to your superiors potentially jeopardizing their job, or do you confront them privately about their unsafe practices?"
379,13137,dining with friends.,"You are a vegetarian and your friends are not. At the dinner, they order a large meat platter to share among the group. Do you partake in the meal to avoid offending your friends or stick to your vegetarian principles?"
380,13141,disregarding people's dietary needs,"A restaurant owner prides himself on serving only traditional, unaltered recipes. He refuses to offer vegan, gluten-free, or other dietary options because he believes it ruins the authenticity of the cuisine. Should he compromise his culinary values to accommodate dietary needs and preferences of his customers?"
381,13200,sometimes people being very mistaken about basic facts.,"John, a teacher, realizes that his student, Tom, is confidently but incorrectly teaching others about the earth being flat. John is unsure whether to immediately correct Tom, as it might embarrass him in front of his peers, but he also doesn't want the misinformation to spread. Should John correct Tom's mistake immediately or wait for a private moment to do so?"
382,13227,being distracted while sitting at a stoplight,You're a hardworking student who's been studying all night for a crucial exam and you're driving to school. You're stopped at a red light and you take the opportunity to look at your notes one last time. Should you continue reviewing your notes at the cost of possibly missing the light change and delaying other drivers?
383,13300,hating a partner's child,"Jane is in a relationship with a man who has a child from a previous relationship. She finds herself disliking the child due to his disrespectful behavior, despite efforts to bond. Should Jane continue the relationship and pretend to like the child or end the relationship because of her feelings towards the child?"
384,13319,not wanting to spend time with a partner's ex-partner.,"You're in a serious relationship with your partner who has a child from a previous relationship. Your partner frequently invites their ex to family events for the sake of their child, making you uncomfortable. Should you voice your discomfort, potentially causing strain in your relationship and your partner's relationship with their child's other parent?"
385,13334,People cutting ties with their exes.,"After a bitter breakup, Anna has decided to delete all pictures of her ex from their shared social media accounts. She believes it will help her move on, but she also knows it might hurt her ex who still cherishes those memories. Should Anna delete the pictures regardless of her ex's feelings?"
386,13384,continuing a close relationship with someone when your girlfriend dislikes it.,"John has been friends with Sarah since childhood and they have a close bond. John's girlfriend, Lisa, feels uncomfortable with their relationship and asks John to distance himself from Sarah. Should John continue his friendship with Sarah at the risk of hurting Lisa's feelings or should he distance himself from Sarah to maintain his relationship with Lisa?"
387,13400,making sexual requests of your partner.,"You've been in a loving, committed relationship for years. Your partner has always been uncomfortable with a specific sexual act, but you've recently discovered it's something you enjoy and would like to try with them. Should you ask your partner to perform this act despite their discomfort, or respect their boundaries and refrain from asking?"
388,13447,complimenting the chef if you enjoy someone else's food,"You've been invited to a close friend's house for dinner and you're aware that he's been trying to improve his cooking skills. During the meal, you discover that his spouse, not your friend, made the delicious meal you're enjoying. Do you compliment your friend to boost his confidence or give credit to the spouse who actually cooked the meal?"
389,13469,raising the billing rate of someone that used to work for you.,"You run a small business and have recently hired a former employee as an independent contractor. This individual used to be a salaried employee but now they are paid on an hourly basis and you want to raise their billing rate without discussing it with them. Should you raise their billing rate without their consent, potentially taking advantage of their past employment status? "
